cello_pitch,viola_pitch,interval,semitones,dynamic,technique,cello_file,cello_instrument_code,cello_pitch_code,cello_technique_code,cello_dynamic_code,cello_audible_duration,cello_dynamic,cello_technique,cello_family,viola_file,viola_instrument_code,viola_pitch_code,viola_technique_code,viola_dynamic_code,viola_audible_duration,viola_dynamic,viola_technique,viola_family,wav_filename,chord_filename
,22,viola violin,,mezzo-piano,non-vibrato,,,,,,,,,,solo_wavs/solo_viola/viola_224617_mezzo-piano_non-vibrato.wav,1,22,17,46,0.01,mezzo-piano,non-vibrato,bowed,224617_432617.wav,224617_432617.wav
,22,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_224809_forte_arco-normal.wav,1,22,09,48,0.01,forte,arco-normal,bowed,224809_438809.wav,224809_438809.wav
,22,viola violin,,piano,pizz-normal,,,,,,,,,,solo_wavs/solo_viola/viola_224819_piano_pizz-normal.wav,1,22,19,48,0.01,piano,pizz-normal,plucked,224819_439819.wav,224819_439819.wav
,22,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_226409_forte_arco-normal.wav,1,22,09,64,0.01,forte,arco-normal,bowed,226409_438409.wav,226409_438409.wav
,22,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_226809_forte_arco-normal.wav,1,22,09,68,0.01,forte,arco-normal,bowed,226809_439809.wav,226809_439809.wav
,22,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_227809_forte_arco-normal.wav,1,22,09,78,0.01,forte,arco-normal,bowed,227809_430809.wav,227809_430809.wav
,22,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_228609_forte_arco-normal.wav,1,22,09,86,0.01,forte,arco-normal,bowed,228609_439609.wav,228609_439609.wav
,22,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_228709_forte_arco-normal.wav,1,22,09,87,0.01,forte,arco-normal,bowed,228709_445709.wav,228709_445709.wav
,22,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_228809_forte_arco-normal.wav,1,22,09,88,0.01,forte,arco-normal,bowed,228809_441809.wav,228809_441809.wav
,22,viola violin,,piano,pizz-normal,,,,,,,,,,solo_wavs/solo_viola/viola_228819_piano_pizz-normal.wav,1,22,19,88,0.01,piano,pizz-normal,plucked,228819_435819.wav,228819_435819.wav
,23,viola violin,,mezzo-piano,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_230609_mezzo-piano_arco-normal.wav,1,23,09,06,0.01,mezzo-piano,arco-normal,bowed,230609_444609.wav,230609_444609.wav
,23,viola violin,,pianissimo,arco-col-legno-battuto,,,,,,,,,,solo_wavs/solo_viola/viola_231515_pianissimo_arco-col-legno-battuto.wav,1,23,15,15,0.01,pianissimo,arco-col-legno-battuto,col_legno,231515_435515.wav,231515_435515.wav
,23,viola violin,,piano,pizz-normal,,,,,,,,,,solo_wavs/solo_viola/viola_231819_piano_pizz-normal.wav,1,23,19,18,0.01,piano,pizz-normal,plucked,231819_448819.wav,231819_448819.wav
,23,viola violin,,piano,pizz-normal,,,,,,,,,,solo_wavs/solo_viola/viola_233819_piano_pizz-normal.wav,1,23,19,38,0.01,piano,pizz-normal,plucked,233819_444819.wav,233819_444819.wav
,23,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_234309_forte_arco-normal.wav,1,23,09,43,0.01,forte,arco-normal,bowed,234309_446309.wav,234309_446309.wav
,23,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_234409_forte_arco-normal.wav,1,23,09,44,0.01,forte,arco-normal,bowed,234409_437409.wav,234409_437409.wav
,23,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_235509_forte_arco-normal.wav,1,23,09,55,0.01,forte,arco-normal,bowed,235509_445509.wav,235509_445509.wav
,23,viola violin,,pianissimo,arco-col-legno-battuto,,,,,,,,,,solo_wavs/solo_viola/viola_235515_pianissimo_arco-col-legno-battuto.wav,1,23,15,55,0.01,pianissimo,arco-col-legno-battuto,col_legno,235515_448515.wav,235515_448515.wav
,23,viola violin,,forte,arco-harmonic,,,,,,,,,,solo_wavs/solo_viola/viola_237516_forte_arco-harmonic.wav,1,23,16,75,0.01,forte,arco-harmonic,harmonic,237516_442516.wav,237516_442516.wav
,23,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_237809_forte_arco-normal.wav,1,23,09,78,0.01,forte,arco-normal,bowed,237809_438809.wav,237809_438809.wav
,23,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_238709_forte_arco-normal.wav,1,23,09,87,0.01,forte,arco-normal,bowed,238709_458709.wav,238709_458709.wav
,23,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_239309_forte_arco-normal.wav,1,23,09,93,0.01,forte,arco-normal,bowed,239309_457309.wav,239309_457309.wav
,23,viola violin,,forte,arco-harmonic,,,,,,,,,,solo_wavs/solo_viola/viola_239516_forte_arco-harmonic.wav,1,23,16,95,0.01,forte,arco-harmonic,harmonic,239516_451516.wav,239516_451516.wav
,23,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_239609_forte_arco-normal.wav,1,23,09,96,0.01,forte,arco-normal,bowed,239609_453609.wav,239609_453609.wav
,24,viola violin,,fortissimo,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_240409_fortissimo_arco-normal.wav,1,24,09,04,0.01,fortissimo,arco-normal,bowed,240409_442409.wav,240409_442409.wav
,24,viola violin,,pianissimo,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_241513_pianissimo_arco-normal.wav,1,24,13,15,0.01,pianissimo,arco-normal,bowed,241513_447513.wav,241513_447513.wav
,24,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_241609_forte_arco-normal.wav,1,24,09,16,0.01,forte,arco-normal,bowed,241609_443609.wav,241609_443609.wav
,24,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_242309_forte_arco-normal.wav,1,24,09,23,0.01,forte,arco-normal,bowed,242309_454309.wav,242309_454309.wav
,24,viola violin,,forte,arco-harmonic,,,,,,,,,,solo_wavs/solo_viola/viola_242516_forte_arco-harmonic.wav,1,24,16,25,0.01,forte,arco-harmonic,harmonic,242516_463516.wav,242516_463516.wav
,24,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_242809_forte_arco-normal.wav,1,24,09,28,0.01,forte,arco-normal,bowed,242809_443809.wav,242809_443809.wav
,24,viola violin,,pianissimo,arco-col-legno-battuto,,,,,,,,,,solo_wavs/solo_viola/viola_243515_pianissimo_arco-col-legno-battuto.wav,1,24,15,35,0.01,pianissimo,arco-col-legno-battuto,col_legno,243515_443515.wav,243515_443515.wav
,24,viola violin,,mezzo-piano,non-vibrato,,,,,,,,,,solo_wavs/solo_viola/viola_243617_mezzo-piano_non-vibrato.wav,1,24,17,36,0.01,mezzo-piano,non-vibrato,bowed,243617_454617.wav,243617_454617.wav
,24,viola violin,,forte,arco-harmonic,,,,,,,,,,solo_wavs/solo_viola/viola_244516_forte_arco-harmonic.wav,1,24,16,45,0.01,forte,arco-harmonic,harmonic,244516_454516.wav,244516_454516.wav
,24,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_244609_forte_arco-normal.wav,1,24,09,46,0.01,forte,arco-normal,bowed,244609_450609.wav,244609_450609.wav
,24,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_246309_forte_arco-normal.wav,1,24,09,63,0.01,forte,arco-normal,bowed,246309_460309.wav,246309_460309.wav
,24,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_246809_forte_arco-normal.wav,1,24,09,68,0.01,forte,arco-normal,bowed,246809_448809.wav,246809_448809.wav
,24,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_247709_forte_arco-normal.wav,1,24,09,77,0.01,forte,arco-normal,bowed,247709_448709.wav,247709_448709.wav
,24,viola violin,,forte,arco-harmonic,,,,,,,,,,solo_wavs/solo_viola/viola_249516_forte_arco-harmonic.wav,1,24,16,95,0.01,forte,arco-harmonic,harmonic,249516_463516.wav,249516_463516.wav
,25,viola violin,,fortissimo,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_251409_fortissimo_arco-normal.wav,1,25,09,14,0.01,fortissimo,arco-normal,bowed,251409_451409.wav,251409_451409.wav
,25,viola violin,,mezzo-piano,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_251709_mezzo-piano_arco-normal.wav,1,25,09,17,0.01,mezzo-piano,arco-normal,bowed,251709_455709.wav,251709_455709.wav
,25,viola violin,,forte,arco-harmonic,,,,,,,,,,solo_wavs/solo_viola/viola_253516_forte_arco-harmonic.wav,1,25,16,35,0.01,forte,arco-harmonic,harmonic,253516_453516.wav,253516_453516.wav
,25,viola violin,,forte,arco-harmonic,,,,,,,,,,solo_wavs/solo_viola/viola_253516_forte_arco-harmonic.wav,1,25,16,35,0.01,forte,arco-harmonic,harmonic,253516_459516.wav,253516_459516.wav
,25,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_254409_forte_arco-normal.wav,1,25,09,44,0.01,forte,arco-normal,bowed,254409_458409.wav,254409_458409.wav
,25,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_255409_forte_arco-normal.wav,1,25,09,54,0.01,forte,arco-normal,bowed,255409_460409.wav,255409_460409.wav
,25,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_255709_forte_arco-normal.wav,1,25,09,57,0.01,forte,arco-normal,bowed,255709_470709.wav,255709_470709.wav
,25,viola violin,,forte,arco-harmonic,,,,,,,,,,solo_wavs/solo_viola/viola_256516_forte_arco-harmonic.wav,1,25,16,65,0.01,forte,arco-harmonic,harmonic,256516_473516.wav,256516_473516.wav
,25,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_256609_forte_arco-normal.wav,1,25,09,66,0.01,forte,arco-normal,bowed,256609_458609.wav,256609_458609.wav
,25,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_256809_forte_arco-normal.wav,1,25,09,68,0.01,forte,arco-normal,bowed,256809_459809.wav,256809_459809.wav
,25,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_259309_forte_arco-normal.wav,1,25,09,93,0.01,forte,arco-normal,bowed,259309_470309.wav,259309_470309.wav
,25,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_259709_forte_arco-normal.wav,1,25,09,97,0.01,forte,arco-normal,bowed,259709_470709.wav,259709_470709.wav
,25,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_259809_forte_arco-normal.wav,1,25,09,98,0.01,forte,arco-normal,bowed,259809_464809.wav,259809_464809.wav
,26,viola violin,,mezzo-piano,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_260609_mezzo-piano_arco-normal.wav,1,26,09,06,0.01,mezzo-piano,arco-normal,bowed,260609_464609.wav,260609_464609.wav
,26,viola violin,,mezzo-piano,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_260609_mezzo-piano_arco-normal.wav,1,26,09,06,0.01,mezzo-piano,arco-normal,bowed,260609_471609.wav,260609_471609.wav
,26,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_264409_forte_arco-normal.wav,1,26,09,44,0.01,forte,arco-normal,bowed,264409_466409.wav,264409_466409.wav
,26,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_265809_forte_arco-normal.wav,1,26,09,58,0.01,forte,arco-normal,bowed,265809_465809.wav,265809_465809.wav
,26,viola violin,,forte,arco-normal,,,,,,,,,,solo_wavs/solo_viola/viola_265809_forte_arco-normal.wav,1,26,09,58,0.01,forte,arco-normal,bowed,265809_469809.wav,265809_469809.wav
